method;array_type;array_length;time_nanoseconds
COUNT_SORT;2;50;2628
COUNT_SORT;2;50;2575
COUNT_SORT;2;50;2612
COUNT_SORT;2;50;2620
COUNT_SORT;2;50;2560
COUNT_SORT;2;50;2623
COUNT_SORT;2;50;2650
COUNT_SORT;2;50;2610
COUNT_SORT;2;50;2626
COUNT_SORT;2;50;2534
COUNT_SORT;2;50;2527
COUNT_SORT;2;50;2667
COUNT_SORT;2;50;2620
COUNT_SORT;2;50;2638
COUNT_SORT;2;50;2634
COUNT_SORT;2;50;2657
COUNT_SORT;2;50;2607
COUNT_SORT;2;50;2611
COUNT_SORT;2;50;2552
COUNT_SORT;2;50;2577
COUNT_SORT;2;50;2638
COUNT_SORT;2;50;2593
COUNT_SORT;2;50;2657
COUNT_SORT;2;50;2644
COUNT_SORT;2;50;2681
COUNT_SORT;2;50;2555
COUNT_SORT;2;50;2560
COUNT_SORT;2;50;2622
COUNT_SORT;2;50;2616
COUNT_SORT;2;50;2626
COUNT_SORT;3;50;2680
COUNT_SORT;3;50;2680
COUNT_SORT;3;50;2698
COUNT_SORT;3;50;2647
COUNT_SORT;3;50;2648
COUNT_SORT;3;50;2627
COUNT_SORT;3;50;2643
COUNT_SORT;3;50;2580
COUNT_SORT;3;50;2666
COUNT_SORT;3;50;2742
COUNT_SORT;3;50;2679
COUNT_SORT;3;50;2668
COUNT_SORT;3;50;2667
COUNT_SORT;3;50;2563
COUNT_SORT;3;50;2610
COUNT_SORT;3;50;2624
COUNT_SORT;3;50;2698
COUNT_SORT;3;50;2614
COUNT_SORT;3;50;2680
COUNT_SORT;3;50;2639
COUNT_SORT;3;50;2677
COUNT_SORT;3;50;2687
COUNT_SORT;3;50;2631
COUNT_SORT;3;50;2695
COUNT_SORT;3;50;2627
COUNT_SORT;3;50;2417
COUNT_SORT;3;50;2638
COUNT_SORT;3;50;2561
COUNT_SORT;3;50;2668
COUNT_SORT;3;50;2663
COUNT_SORT;3;50;2673
COUNT_SORT;3;50;2616
COUNT_SORT;3;50;2583
COUNT_SORT;3;50;2669
COUNT_SORT;3;50;2629
COUNT_SORT;3;50;2570
COUNT_SORT;3;50;2649
COUNT_SORT;3;50;2653
COUNT_SORT;3;50;2666
COUNT_SORT;3;50;2560
COUNT_SORT;3;50;2619
COUNT_SORT;3;50;2558
COUNT_SORT;3;50;2636
COUNT_SORT;3;50;2640
COUNT_SORT;3;50;2664
COUNT_SORT;3;50;2610
COUNT_SORT;3;50;2560
COUNT_SORT;3;50;2650
COUNT_SORT;3;50;2634
COUNT_SORT;3;50;2644
HEAP_SORT;0;50;2059
HEAP_SORT;0;50;1641
HEAP_SORT;0;50;1588
HEAP_SORT;0;50;1513
HEAP_SORT;0;50;1649
HEAP_SORT;0;50;1415
HEAP_SORT;0;50;1642
HEAP_SORT;0;50;1388
HEAP_SORT;0;50;1367
HEAP_SORT;0;50;1446
HEAP_SORT;0;50;1300
HEAP_SORT;0;50;1447
HEAP_SORT;0;50;1439
HEAP_SORT;0;50;1452
HEAP_SORT;0;50;1402
HEAP_SORT;0;50;1454
HEAP_SORT;0;50;1333
HEAP_SORT;0;50;1446
HEAP_SORT;0;50;1331
HEAP_SORT;0;50;1437
HEAP_SORT;0;50;1308
HEAP_SORT;0;50;1344
HEAP_SORT;0;50;1334
HEAP_SORT;0;50;1420
HEAP_SORT;0;50;1296
HEAP_SORT;0;50;1361
HEAP_SORT;0;50;1472
HEAP_SORT;0;50;1377
HEAP_SORT;0;50;1471
HEAP_SORT;0;50;1328
HEAP_SORT;0;50;1350
HEAP_SORT;0;50;1337
HEAP_SORT;0;50;1472
HEAP_SORT;0;50;1328
HEAP_SORT;0;50;1410
HEAP_SORT;0;50;1365
HEAP_SORT;0;50;1161
HEAP_SORT;0;50;1355
HEAP_SORT;0;50;1364
HEAP_SORT;0;50;1388
HEAP_SORT;0;50;1331
HEAP_SORT;0;50;1335
HEAP_SORT;0;50;1382
HEAP_SORT;0;50;1480
HEAP_SORT;0;50;1339
HEAP_SORT;0;50;1359
HEAP_SORT;0;50;1267
HEAP_SORT;0;50;1386
HEAP_SORT;0;50;1512
HEAP_SORT;0;50;1468
HEAP_SORT;1;50;1436
HEAP_SORT;1;50;1483
HEAP_SORT;1;50;1504
HEAP_SORT;1;50;1421
HEAP_SORT;1;50;1415
HEAP_SORT;1;50;1406
HEAP_SORT;1;50;1423
HEAP_SORT;1;50;1468
HEAP_SORT;1;50;1396
HEAP_SORT;1;50;1461
HEAP_SORT;1;50;1418
HEAP_SORT;1;50;1398
HEAP_SORT;1;50;1433
HEAP_SORT;1;50;1460
HEAP_SORT;1;50;1443
HEAP_SORT;1;50;1491
HEAP_SORT;1;50;1330
HEAP_SORT;1;50;1354
HEAP_SORT;1;50;1332
HEAP_SORT;1;50;1474
HEAP_SORT;1;50;1324
HEAP_SORT;1;50;1445
HEAP_SORT;1;50;1387
HEAP_SORT;1;50;1310
HEAP_SORT;1;50;1384
HEAP_SORT;1;50;1416
HEAP_SORT;1;50;1522
HEAP_SORT;1;50;1476
HEAP_SORT;1;50;1414
HEAP_SORT;1;50;1396
HEAP_SORT;1;50;1227
HEAP_SORT;1;50;1318
HEAP_SORT;1;50;1359
HEAP_SORT;1;50;1422
HEAP_SORT;1;50;1337
HEAP_SORT;1;50;1309
HEAP_SORT;1;50;1329
HEAP_SORT;1;50;1329
HEAP_SORT;1;50;1438
HEAP_SORT;1;50;1362
HEAP_SORT;1;50;1316
HEAP_SORT;1;50;1266
HEAP_SORT;1;50;1371
HEAP_SORT;1;50;1381
HEAP_SORT;1;50;1395
HEAP_SORT;1;50;1390
HEAP_SORT;1;50;1323
HEAP_SORT;1;50;1350
HEAP_SORT;1;50;1209
HEAP_SORT;1;50;1434
HEAP_SORT;2;50;1116
HEAP_SORT;2;50;1017
HEAP_SORT;2;50;894
HEAP_SORT;2;50;938
HEAP_SORT;2;50;901
HEAP_SORT;2;50;916
HEAP_SORT;2;50;757
HEAP_SORT;2;50;783
HEAP_SORT;2;50;673
HEAP_SORT;2;50;1016
HEAP_SORT;2;50;806
HEAP_SORT;2;50;878
HEAP_SORT;2;50;929
HEAP_SORT;2;50;861
HEAP_SORT;2;50;1001
HEAP_SORT;2;50;821
HEAP_SORT;2;50;991
HEAP_SORT;2;50;879
HEAP_SORT;2;50;746
HEAP_SORT;2;50;865
HEAP_SORT;2;50;768
HEAP_SORT;2;50;724
HEAP_SORT;2;50;749
HEAP_SORT;2;50;826
HEAP_SORT;2;50;835
HEAP_SORT;2;50;979
HEAP_SORT;2;50;785
HEAP_SORT;2;50;907
HEAP_SORT;2;50;974
HEAP_SORT;2;50;896
HEAP_SORT;2;50;846
HEAP_SORT;2;50;783
HEAP_SORT;2;50;994
HEAP_SORT;2;50;916
HEAP_SORT;2;50;870
HEAP_SORT;2;50;891
HEAP_SORT;2;50;839
HEAP_SORT;2;50;703
HEAP_SORT;2;50;781
HEAP_SORT;2;50;845
HEAP_SORT;2;50;938
HEAP_SORT;2;50;972
HEAP_SORT;2;50;709
HEAP_SORT;2;50;824
HEAP_SORT;2;50;915
HEAP_SORT;2;50;852
HEAP_SORT;2;50;821
HEAP_SORT;2;50;848
HEAP_SORT;2;50;849
HEAP_SORT;2;50;729
HEAP_SORT;3;50;1485
HEAP_SORT;3;50;1190
HEAP_SORT;3;50;919
HEAP_SORT;3;50;891
HEAP_SORT;3;50;922
HEAP_SORT;3;50;904
HEAP_SORT;3;50;931
HEAP_SORT;3;50;880
HEAP_SORT;3;50;909
HEAP_SORT;3;50;885
HEAP_SORT;3;50;889
HEAP_SORT;3;50;909
HEAP_SORT;3;50;887
HEAP_SORT;3;50;966
HEAP_SORT;3;50;899
HEAP_SORT;3;50;795
HEAP_SORT;3;50;808
HEAP_SORT;3;50;823
HEAP_SORT;3;50;819
HEAP_SORT;3;50;799
HEAP_SORT;3;50;769
HEAP_SORT;3;50;793
HEAP_SORT;3;50;797
HEAP_SORT;3;50;806
HEAP_SORT;3;50;930
HEAP_SORT;3;50;794
HEAP_SORT;3;50;932
HEAP_SORT;3;50;953
HEAP_SORT;3;50;822
HEAP_SORT;3;50;798
HEAP_SORT;3;50;868
HEAP_SORT;3;50;823
HEAP_SORT;3;50;793
HEAP_SORT;3;50;1013
HEAP_SORT;3;50;755
HEAP_SORT;3;50;801
HEAP_SORT;3;50;791
HEAP_SORT;3;50;849
HEAP_SORT;3;50;814
HEAP_SORT;3;50;843
HEAP_SORT;3;50;934
HEAP_SORT;3;50;803
HEAP_SORT;3;50;850
HEAP_SORT;3;50;796
HEAP_SORT;3;50;761
HEAP_SORT;3;50;845
HEAP_SORT;3;50;800
HEAP_SORT;3;50;821
HEAP_SORT;3;50;1117
HEAP_SORT;3;50;867
MERGE_SORT;0;50;4475
MERGE_SORT;0;50;3584
MERGE_SORT;0;50;2583
MERGE_SORT;0;50;2546
MERGE_SORT;0;50;2501
MERGE_SORT;0;50;2467
MERGE_SORT;0;50;2593
MERGE_SORT;0;50;2799
MERGE_SORT;0;50;2770
MERGE_SORT;0;50;2749
MERGE_SORT;0;50;2721
MERGE_SORT;0;50;2637
MERGE_SORT;0;50;2787
MERGE_SORT;0;50;2771
MERGE_SORT;0;50;2702
MERGE_SORT;0;50;2593
MERGE_SORT;0;50;2750
MERGE_SORT;0;50;2697
MERGE_SORT;0;50;2548
MERGE_SORT;0;50;2665
MERGE_SORT;0;50;2684
MERGE_SORT;0;50;2686
MERGE_SORT;0;50;2554
MERGE_SORT;0;50;2630
MERGE_SORT;0;50;2592
MERGE_SORT;0;50;2586
MERGE_SORT;0;50;2603
MERGE_SORT;0;50;2636
MERGE_SORT;0;50;2610
MERGE_SORT;0;50;2619
MERGE_SORT;0;50;2551
MERGE_SORT;0;50;2734
MERGE_SORT;0;50;2607
MERGE_SORT;0;50;2538
MERGE_SORT;0;50;2630
MERGE_SORT;0;50;2676
MERGE_SORT;0;50;2736
MERGE_SORT;0;50;2645
MERGE_SORT;0;50;2661
MERGE_SORT;0;50;2717
MERGE_SORT;0;50;2644
MERGE_SORT;0;50;2657
MERGE_SORT;0;50;2595
MERGE_SORT;0;50;2495
MERGE_SORT;0;50;2615
MERGE_SORT;0;50;2577
MERGE_SORT;0;50;2540
MERGE_SORT;0;50;2501
MERGE_SORT;0;50;2595
MERGE_SORT;0;50;2583
MERGE_SORT;1;50;2676
MERGE_SORT;1;50;2706
MERGE_SORT;1;50;2704
MERGE_SORT;1;50;2728
MERGE_SORT;1;50;2633
MERGE_SORT;1;50;2813
MERGE_SORT;1;50;2638
MERGE_SORT;1;50;2652
MERGE_SORT;1;50;2720
MERGE_SORT;1;50;2641
MERGE_SORT;1;50;2697
MERGE_SORT;1;50;2650
MERGE_SORT;1;50;2600
MERGE_SORT;1;50;2604
MERGE_SORT;1;50;2630
MERGE_SORT;1;50;2716
MERGE_SORT;1;50;2609
MERGE_SORT;1;50;2699
MERGE_SORT;1;50;2629
MERGE_SORT;1;50;2534
MERGE_SORT;1;50;2708
MERGE_SORT;1;50;2655
MERGE_SORT;1;50;2749
MERGE_SORT;1;50;2612
MERGE_SORT;1;50;2616
MERGE_SORT;1;50;2616
MERGE_SORT;1;50;2645
MERGE_SORT;1;50;2661
MERGE_SORT;1;50;2720
MERGE_SORT;1;50;2721
MERGE_SORT;1;50;2712
MERGE_SORT;1;50;2694
